-0.11352,0.0029195,-0.057432,-0.034723,0.0040841,0.056996
-0.11002,0.0058562,-0.05587,-0.03432,0.0041978,0.059306
-0.10662,0.0087298,-0.054351,-0.033943,0.004303,0.061586
-0.10333,0.011542,-0.052874,-0.033594,0.0044,0.063835
-0.10014,0.014294,-0.051437,-0.033278,0.0044893,0.066056
-0.097052,0.016987,-0.05004,-0.03288,0.0045747,0.068224
-0.094054,0.019623,-0.048682,-0.032497,0.0046521,0.070359
-0.091149,0.022203,-0.047361,-0.032128,0.0047219,0.072463
-0.088332,0.024729,-0.046076,-0.031773,0.0047843,0.074536
-0.085601,0.027202,-0.044826,-0.031432,0.0048397,0.076577
-0.082955,0.029622,-0.04361,-0.031103,0.0048883,0.078589
-0.080389,0.031992,-0.042428,-0.030787,0.0049304,0.08057
-0.077902,0.034312,-0.041278,-0.030484,0.0049663,0.082522
-0.075491,0.036584,-0.04016,-0.030193,0.0049961,0.084445
-0.073155,0.038808,-0.039072,-0.029914,0.0050202,0.086339
-0.07089,0.040986,-0.038014,-0.029646,0.0050387,0.088205
-0.068694,0.043119,-0.036984,-0.029389,0.0050519,0.090043
-0.066566,0.045208,-0.035983,-0.029144,0.0050599,0.091853
-0.064504,0.047253,-0.035009,-0.02891,0.005063,0.093635
-0.062504,0.049256,-0.034061,-0.028688,0.0050612,0.095391
-0.060566,0.051218,-0.033139,-0.028477,0.0050548,0.097119
-0.058688,0.053139,-0.032243,-0.028278,0.0050437,0.098821
-0.056868,0.05502,-0.03137,-0.028093,0.005028,0.1005
-0.055103,0.056863,-0.030522,-0.027922,0.0050076,0.10215
-0.053393,0.058668,-0.029696,-0.02777,0.004982,0.10377
-0.051736,0.060435,-0.028893,-0.027646,0.0049503,0.10536
-0.050129,0.062166,-0.028111,-0.027571,0.0049096,0.10692
-0.048572,0.063862,-0.027351,-0.027651,0.004847,0.10844
-0.047063,0.065522,-0.026611,-0.03197,0.0043043,0.10876
-0.045601,0.067148,-0.025891,-0.031687,0.0042916,0.11027
-0.044183,0.068741,-0.025191,-0.03142,0.0042762,0.11176
-0.042809,0.0703,-0.024509,-0.031168,0.0042583,0.11322
-0.041478,0.071828,-0.023846,-0.030933,0.0042379,0.11466
-0.040188,0.073323,-0.023201,-0.030719,0.0042154,0.11607
-0.038938,0.074788,-0.022573,-0.030531,0.0041908,0.11746
-0.037726,0.076222,-0.021963,-0.030379,0.0041644,0.11882
-0.036551,0.077626,-0.021368,-0.036382,0.0035439,0.11935
-0.035413,0.079001,-0.02079,-0.035975,0.0035184,0.12071
-0.03431,0.080347,-0.020227,-0.035588,0.0034895,0.12205
-0.033241,0.081665,-0.01968,-0.035223,0.0034569,0.12336
-0.032206,0.082954,-0.019147,-0.034884,0.00342,0.12465
-0.031202,0.084217,-0.018629,-0.034579,0.0033772,0.12591
-0.030229,0.085452,-0.018124,-0.034337,0.0033246,0.12713
-0.029287,0.086661,-0.017633,-0.034276,0.0032452,0.1283
-0.028373,0.087845,-0.017156,-0.039347,0.0025369,0.12773
-0.027488,0.089002,-0.016691,-0.038865,0.0025351,0.12893
-0.02663,0.090135,-0.016239,-0.038404,0.0025313,0.1301
-0.025799,0.091242,-0.015798,-0.037964,0.0025256,0.13125
-0.024994,0.092326,-0.01537,-0.037549,0.0025181,0.13238
-0.024213,0.093385,-0.014953,-0.037161,0.0025089,0.13348
-0.023457,0.094421,-0.014548,-0.036809,0.0024981,0.13456
-0.022725,0.095433,-0.014153,-0.036508,0.002486,0.13562
-0.022014,0.096423,-0.013769,-0.041437,0.0019994,0.13565
-0.021327,0.09739,-0.013395,-0.040896,0.0019783,0.13672
-0.02066,0.098335,-0.013031,-0.040381,0.0019541,0.13777
-0.020014,0.099258,-0.012678,-0.039894,0.0019261,0.1388
-0.019388,0.10016,-0.012333,-0.039444,0.0018928,0.1398
-0.018782,0.10104,-0.011998,-0.039054,0.0018502,0.14076
-0.018194,0.1019,-0.011672,-0.038828,0.0017825,0.14167
