-0.7854,0,1,0,-0.7854,-0.7854,-0.7854,0,0,0,0,0,0
-0.80133,-0.010289,0.99004,0.031693,-0.76649,-0.78956,-0.789,0.0065092,0.42802,-0.43312,0.16973,-0.17483,0
-0.81688,-0.020168,0.98016,0.062458,-0.74862,-0.79269,-0.79274,0.012555,0.85532,-0.8462,0.34496,-0.33584,0
-0.83205,-0.029657,0.97034,0.09233,-0.73175,-0.79482,-0.79661,0.018167,1.2813,-1.24,0.525,-0.48379,0
-0.84684,-0.038777,0.96061,0.12134,-0.71587,-0.79598,-0.80062,0.023373,1.7053,-1.6154,0.70922,-0.61939,0
-0.86126,-0.047548,0.95095,0.14952,-0.70095,-0.79619,-0.80476,0.028198,2.1268,-1.9731,0.89704,-0.74332,0
-0.87531,-0.055986,0.94138,0.1769,-0.68696,-0.79548,-0.80904,0.032665,2.5455,-2.3138,1.0879,-0.8562,0
-0.889,-0.064108,0.9319,0.2035,-0.67389,-0.79387,-0.81347,0.036798,2.9609,-2.6381,1.2814,-0.95866,0
-0.90234,-0.07193,0.9225,0.22936,-0.66172,-0.79137,-0.81803,0.040616,3.3727,-2.9469,1.4771,-1.0512,0
-0.91532,-0.079464,0.91319,0.2545,-0.65042,-0.78801,-0.82275,0.044138,3.7806,-3.2406,1.6745,-1.1345,0
-0.92796,-0.086724,0.90397,0.27895,-0.63998,-0.7838,-0.82763,0.047383,4.1844,-3.5199,1.8734,-1.2089,0
-0.94026,-0.093722,0.89484,0.30272,-0.63039,-0.77875,-0.83266,0.050368,4.5837,-3.7854,2.0733,-1.275,0
-0.95224,-0.10047,0.8858,0.32585,-0.62162,-0.77287,-0.83787,0.053107,4.9785,-4.0377,2.274,-1.3331,0
-0.96389,-0.10698,0.87686,0.34836,-0.61366,-0.76616,-0.84326,0.055615,5.3686,-4.2772,2.4752,-1.3838,0
-0.97522,-0.11325,0.86801,0.37026,-0.60651,-0.75863,-0.84884,0.057907,5.7538,-4.5046,2.6766,-1.4274,0
-0.98625,-0.11931,0.85925,0.39158,-0.60015,-0.75027,-0.85463,0.059995,6.134,-4.7202,2.878,-1.4643,0
-0.99697,-0.12515,0.85058,0.41233,-0.59457,-0.74108,-0.86063,0.06189,6.509,-4.9245,3.0793,-1.4948,0
-1.0074,-0.13079,0.84201,0.43253,-0.58976,-0.73105,-0.86687,0.063604,6.879,-5.1181,3.2802,-1.5193,0
-1.0175,-0.13623,0.83353,0.45221,-0.58573,-0.72018,-0.87335,0.065148,7.2436,-5.3012,3.4805,-1.5381,0
-1.0274,-0.14148,0.82514,0.47137,-0.58245,-0.70844,-0.8801,0.066532,7.603,-5.4744,3.6802,-1.5515,0
-1.037,-0.14655,0.81684,0.49004,-0.57994,-0.69582,-0.88714,0.067764,7.957,-5.6379,3.8789,-1.5598,0
-1.0463,-0.15143,0.80863,0.50823,-0.57819,-0.68231,-0.89448,0.068854,8.3057,-5.7921,4.0768,-1.5632,0
-1.0553,-0.15615,0.80052,0.52595,-0.5772,-0.66786,-0.90216,0.069809,8.649,-5.9375,4.2735,-1.562,0
-1.0641,-0.16069,0.79249,0.54321,-0.57697,-0.65247,-0.91019,0.070638,8.9869,-6.0742,4.469,-1.5563,0
-1.0726,-0.16507,0.78455,0.56004,-0.5775,-0.63609,-0.91862,0.071347,9.3193,-6.2026,4.6632,-1.5465,0
-1.0809,-0.1693,0.7767,0.57643,-0.5788,-0.61868,-0.92746,0.071944,9.6465,-6.3229,4.8561,-1.5326,0
-1.0889,-0.17336,0.76894,0.59241,-0.58089,-0.60021,-0.93675,0.072434,9.9682,-6.4355,5.0476,-1.5149,0
-1.0967,-0.17727,0.76126,0.60798,-0.58376,-0.58062,-0.94654,0.072825,10.285,-6.5405,5.2376,-1.4935,0
-1.1043,-0.18103,0.75366,0.62316,-0.58742,-0.55986,-0.95685,0.073122,10.596,-6.6381,5.426,-1.4686,0
-1.1116,-0.18464,0.74615,0.63795,-0.5919,-0.53788,-0.96775,0.07333,10.901,-6.7285,5.6129,-1.4402,0
-1.1187,-0.1881,0.73871,0.65236,-0.5972,-0.5146,-0.97927,0.073455,11.202,-6.8118,5.7982,-1.4084,0
-1.1256,-0.19141,0.73135,0.6664,-0.60333,-0.48997,-0.99148,0.0735,11.497,-6.8881,5.9819,-1.3734,0
-1.1322,-0.19457,0.72406,0.68007,-0.61031,-0.4639,-1.0044,0.073472,11.787,-6.9575,6.1641,-1.335,0
